****************************************************************************************************
This file includes true energy spectra and migration matrices for the neutral current elastic sample
with the reconstructed energy from 40 to 650 MeV and flat fiducial volume cut R < 4.2m.
****************************************************************************************************

123.7<Trec<135.7       |  1.571555e-01      0.000000e+00      1.571555e-01      3.143109e-01      1.571555e+00      1.132508e+01      5.463252e+01      8.821536e+01      7.453777e+01      4.294723e+01      1.651406e+01      7.071996e+00      3.457420e+00      1.100088e+00      6.286219e-01      3.143109e-01      0.000000e+00      1.571555e-01      1.571555e-01      0.000000e+00      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00    
135.7<Trec<147.6       |  0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      4.714664e-01      4.428809e+00      2.741471e+01      7.034098e+01      8.538324e+01      5.977858e+01      2.943078e+01      1.323215e+01      5.657597e+00      4.243198e+00      1.257244e+00      1.100088e+00      3.143109e-01      4.714664e-01      1.571555e-01      3.143109e-01      0.000000e+00      1.571555e-01      1.571555e-01      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      2.742724e-01    
147.6<Trec<159.6       |  0.000000e+00      0.000000e+00      1.571555e-01      1.571555e-01      7.857774e-01      2.985954e+00      1.084373e+01      4.202487e+01      7.706389e+01      7.613503e+01      4.891386e+01      1.524987e+01      7.071996e+00      4.086042e+00      2.671643e+00      6.286219e-01      4.714664e-01      3.143109e-01      6.286219e-01      1.571555e-01      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      3.143109e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      1.571555e-01    
159.6<Trec<171.6       |  0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      3.143109e-01      1.775759e+00      3.771731e+00      2.205998e+01      5.554259e+01      8.080582e+01      6.159144e+01      3.459994e+01      1.242040e+01      7.557630e+00      4.888243e+00      1.257244e+00      1.414399e+00      9.429328e-01      3.143109e-01      3.143109e-01      1.571555e-01      1.571555e-01      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00    
171.6<Trec<183.5       |  0.000000e+00      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      7.857774e-01      2.200177e+00      9.743639e+00      3.210817e+01      6.657212e+01      7.252715e+01      5.207869e+01      2.451625e+01      1.084373e+01      4.714664e+00      3.143110e+00      1.100088e+00      4.714664e-01      6.286219e-01      3.143109e-01      4.714664e-01      4.714664e-01      3.143109e-01      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00    
183.5<Trec<195.5       |  0.000000e+00      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      0.000000e+00      9.429328e-01      3.771731e+00      1.681564e+01      4.419962e+01      6.675597e+01      6.197214e+01      4.078307e+01      1.657608e+01      9.272173e+00      4.400353e+00      2.828799e+00      1.728710e+00      1.885866e+00      7.857774e-01      1.571555e-01      4.714664e-01      0.000000e+00      1.571555e-01      1.571555e-01      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00    
195.5<Trec<207.5       |  0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      3.143109e-01      4.714664e-01      9.429328e-01      7.857774e+00      2.002758e+01      5.208861e+01      6.058861e+01      5.171799e+01      2.484850e+01      1.335822e+01      5.971908e+00      2.364723e+00      2.043021e+00      1.100088e+00      1.257244e+00      1.571555e-01      6.286219e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00    
207.5<Trec<219.4       |  0.000000e+00      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      1.571555e-01      3.143109e-01      1.571555e+00      2.200177e+00      9.272173e+00      3.116576e+01      5.337331e+01      5.712009e+01      4.605963e+01      2.426200e+01      1.194382e+01      6.129064e+00      3.143110e+00      2.671643e+00      7.911088e-01      9.429328e-01      3.143109e-01      1.571555e-01      1.571555e-01      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00    
219.4<Trec<231.4       |  0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      1.571555e-01      1.257244e+00      5.213289e+00      1.370931e+01      4.025153e+01      5.234077e+01      4.814374e+01      3.268834e+01      1.807288e+01      6.443374e+00      5.028975e+00      2.043021e+00      2.828799e+00      7.857774e-01      9.429328e-01      3.528636e-01      3.143109e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00    
231.4<Trec<243.3       |  0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      1.571555e-01      0.000000e+00      3.143109e-01      4.714664e-01      4.714664e-01      2.357332e+00      6.329000e+00      1.966849e+01      4.408702e+01      4.937501e+01      3.906105e+01      2.404479e+01      1.603761e+01      7.071996e+00      5.028975e+00      2.514488e+00      1.728710e+00      6.286219e-01      3.143109e-01      1.571555e-01      0.000000e+00      1.571555e-01      1.571555e-01      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00    
