GlobalBin    Bin    row_lo    row_hi    subrow_lo    subrow_hi    element_lo    element_hi
352     90     -1000     -1000     0.9     1     0.245     0.28
353     91     -1000     -1000     0.9     1     0.28     0.315
354     92     -1000     -1000     0.9     1     0.315     0.35
355     93     -1000     -1000     0.9     1     0.35     0.42
356     94     -1000     -1000     0.9     1     0.42     0.525
357     95     -1000     -1000     0.9     1     0.525     0.8
358     0     -1000     -1000     -1000     -1000     0.106     0.226
359     1     -1000     -1000     -1000     -1000     0.226     0.296
360     2     -1000     -1000     -1000     -1000     0.296     0.386
361     3     -1000     -1000     -1000     -1000     0.386     0.505
362     4     -1000     -1000     -1000     -1000     0.505     0.577
363     5     -1000     -1000     -1000     -1000     0.577     0.659
364     6     -1000     -1000     -1000     -1000     0.659     0.753
365     7     -1000     -1000     -1000     -1000     0.753     0.861
366     8     -1000     -1000     -1000     -1000     0.861     0.984
367     9     -1000     -1000     -1000     -1000     0.984     1.285
368     10     -1000     -1000     -1000     -1000     1.285     2.506
369     0     -1000     -1000     -1000     -1000     -1     -0.6
370     1     -1000     -1000     -1000     -1000     -0.6     -0.5
371     2     -1000     -1000     -1000     -1000     -0.5     -0.4
372     3     -1000     -1000     -1000     -1000     -0.4     -0.3
373     4     -1000     -1000     -1000     -1000     -0.3     -0.2
374     5     -1000     -1000     -1000     -1000     -0.2     -0.1
375     6     -1000     -1000     -1000     -1000     -0.1     0
376     7     -1000     -1000     -1000     -1000     0     0.1
377     8     -1000     -1000     -1000     -1000     0.1     0.2
378     9     -1000     -1000     -1000     -1000     0.2     0.3
379     10     -1000     -1000     -1000     -1000     0.3     0.4
380     11     -1000     -1000     -1000     -1000     0.4     0.5
381     12     -1000     -1000     -1000     -1000     0.5     0.6
382     13     -1000     -1000     -1000     -1000     0.6     0.7
383     14     -1000     -1000     -1000     -1000     0.7     0.8
384     15     -1000     -1000     -1000     -1000     0.8     0.9
385     16     -1000     -1000     -1000     -1000     0.9     1
386     0     -1000     -1000     -1     -0.5     0.106     0.226
387     1     -1000     -1000     -1     -0.5     0.226     0.296
388     2     -1000     -1000     -1     -0.5     0.296     0.386
389     3     -1000     -1000     -1     -0.5     0.386     2.506
390     4     -1000     -1000     -0.5     0     0.106     0.226
391     5     -1000     -1000     -0.5     0     0.226     0.296
392     6     -1000     -1000     -0.5     0     0.296     0.386
393     7     -1000     -1000     -0.5     0     0.386     0.505
394     8     -1000     -1000     -0.5     0     0.505     0.577
395     9     -1000     -1000     -0.5     0     0.577     2.506
396     10     -1000     -1000     0     0.3     0.106     0.226
397     11     -1000     -1000     0     0.3     0.226     0.296
398     12     -1000     -1000     0     0.3     0.296     0.386
399     13     -1000     -1000     0     0.3     0.386     0.505
400     14     -1000     -1000     0     0.3     0.505     0.577
401     15     -1000     -1000     0     0.3     0.577     0.659
402     16     -1000     -1000     0     0.3     0.659     2.506
403     17     -1000     -1000     0.3     0.5     0.106     0.226
404     18     -1000     -1000     0.3     0.5     0.226     0.296
405     19     -1000     -1000     0.3     0.5     0.296     0.386
406     20     -1000     -1000     0.3     0.5     0.386     0.505
407     21     -1000     -1000     0.3     0.5     0.505     0.577
408     22     -1000     -1000     0.3     0.5     0.577     0.659
409     23     -1000     -1000     0.3     0.5     0.659     0.753
410     24     -1000     -1000     0.3     0.5     0.753     0.861
411     25     -1000     -1000     0.3     0.5     0.861     2.506
412     26     -1000     -1000     0.5     0.7     0.106     0.226
413     27     -1000     -1000     0.5     0.7     0.226     0.296
414     28     -1000     -1000     0.5     0.7     0.296     0.386
415     29     -1000     -1000     0.5     0.7     0.386     0.505
416     30     -1000     -1000     0.5     0.7     0.505     0.577
417     31     -1000     -1000     0.5     0.7     0.577     0.659
418     32     -1000     -1000     0.5     0.7     0.659     0.753
419     33     -1000     -1000     0.5     0.7     0.753     0.861
420     34     -1000     -1000     0.5     0.7     0.861     0.984
421     35     -1000     -1000     0.5     0.7     0.984     2.506
422     36     -1000     -1000     0.7     0.8     0.106     0.226
423     37     -1000     -1000     0.7     0.8     0.226     0.296
424     38     -1000     -1000     0.7     0.8     0.296     0.386
425     39     -1000     -1000     0.7     0.8     0.386     0.505
426     40     -1000     -1000     0.7     0.8     0.505     0.577
427     41     -1000     -1000     0.7     0.8     0.577     0.659
428     42     -1000     -1000     0.7     0.8     0.659     0.753
429     43     -1000     -1000     0.7     0.8     0.753     0.861
430     44     -1000     -1000     0.7     0.8     0.861     0.984
431     45     -1000     -1000     0.7     0.8     0.984     1.285
432     46     -1000     -1000     0.7     0.8     1.285     2.506
433     47     -1000     -1000     0.8     0.9     0.106     0.226
434     48     -1000     -1000     0.8     0.9     0.226     0.296
435     49     -1000     -1000     0.8     0.9     0.296     0.386
436     50     -1000     -1000     0.8     0.9     0.386     0.505
437     51     -1000     -1000     0.8     0.9     0.505     0.577
438     52     -1000     -1000     0.8     0.9     0.577     0.659
439     53     -1000     -1000     0.8     0.9     0.659     0.753
440     54     -1000     -1000     0.8     0.9     0.753     0.861
441     55     -1000     -1000     0.8     0.9     0.861     0.984
442     56     -1000     -1000     0.8     0.9     0.984     1.285
443     57     -1000     -1000     0.8     0.9     1.285     2.506
444     58     -1000     -1000     0.9     1     0.106     0.226
445     59     -1000     -1000     0.9     1     0.226     0.296
446     60     -1000     -1000     0.9     1     0.296     0.386
447     61     -1000     -1000     0.9     1     0.386     0.505
448     62     -1000     -1000     0.9     1     0.505     0.577
449     63     -1000     -1000     0.9     1     0.577     0.659
450     64     -1000     -1000     0.9     1     0.659     0.753
451     65     -1000     -1000     0.9     1     0.753     0.861
452     66     -1000     -1000     0.9     1     0.861     0.984
453     67     -1000     -1000     0.9     1     0.984     1.285
454     68     -1000     -1000     0.9     1     1.285     2.506
455     0     0     0.3     -1     -0.5     0.106     0.226
456     1     0     0.3     -1     -0.5     0.226     0.296
457     2     0     0.3     -1     -0.5     0.296     0.386
458     3     0     0.3     -1     -0.5     0.386     2.506
459     4     0     0.3     -0.5     0     0.106     0.226
460     5     0     0.3     -0.5     0     0.226     0.296
461     6     0     0.3     -0.5     0     0.296     0.386
462     7     0     0.3     -0.5     0     0.386     0.505
463     8     0     0.3     -0.5     0     0.505     2.506
464     9     0     0.3     0     0.3     0.106     0.226
465     10     0     0.3     0     0.3     0.226     0.296
466     11     0     0.3     0     0.3     0.296     0.386
467     12     0     0.3     0     0.3     0.386     0.505
468     13     0     0.3     0     0.3     0.505     0.577
469     14     0     0.3     0     0.3     0.577     2.506
470     15     0     0.3     0.3     0.5     0.106     0.226
471     16     0     0.3     0.3     0.5     0.226     0.296
472     17     0     0.3     0.3     0.5     0.296     0.386
473     18     0     0.3     0.3     0.5     0.386     0.505
474     19     0     0.3     0.3     0.5     0.505     0.577
475     20     0     0.3     0.3     0.5     0.577     0.659
476     21     0     0.3     0.3     0.5     0.659     0.753
477     22     0     0.3     0.3     0.5     0.753     2.506
478     23     0     0.3     0.5     0.7     0.106     0.226
479     24     0     0.3     0.5     0.7     0.226     0.296
480     25     0     0.3     0.5     0.7     0.296     0.386
481     26     0     0.3     0.5     0.7     0.386     0.505
482     27     0     0.3     0.5     0.7     0.505     0.577
483     28     0     0.3     0.5     0.7     0.577     0.659
484     29     0     0.3     0.5     0.7     0.659     0.753
485     30     0     0.3     0.5     0.7     0.753     0.861
486     31     0     0.3     0.5     0.7     0.861     0.984
487     32     0     0.3     0.5     0.7     0.984     2.506
488     33     0     0.3     0.7     0.8     0.106     0.226
489     34     0     0.3     0.7     0.8     0.226     0.296
490     35     0     0.3     0.7     0.8     0.296     0.386
491     36     0     0.3     0.7     0.8     0.386     0.505
492     37     0     0.3     0.7     0.8     0.505     0.577
493     38     0     0.3     0.7     0.8     0.577     0.659
494     39     0     0.3     0.7     0.8     0.659     0.753
495     40     0     0.3     0.7     0.8     0.753     0.861
496     41     0     0.3     0.7     0.8     0.861     0.984
497     42     0     0.3     0.7     0.8     0.984     2.506
498     43     0     0.3     0.8     0.9     0.106     0.226
499     44     0     0.3     0.8     0.9     0.226     0.296
500     45     0     0.3     0.8     0.9     0.296     0.386
501     46     0     0.3     0.8     0.9     0.386     0.505
502     47     0     0.3     0.8     0.9     0.505     0.577
503     48     0     0.3     0.8     0.9     0.577     0.659
504     49     0     0.3     0.8     0.9     0.659     0.753
505     50     0     0.3     0.8     0.9     0.753     0.861
506     51     0     0.3     0.8     0.9     0.861     0.984
507     52     0     0.3     0.8     0.9     0.984     1.285
508     53     0     0.3     0.8     0.9     1.285     2.506
509     54     0     0.3     0.9     1     0.106     0.296
510     55     0     0.3     0.9     1     0.296     0.386
511     56     0     0.3     0.9     1     0.386     0.505
512     57     0     0.3     0.9     1     0.505     0.577
513     58     0     0.3     0.9     1     0.577     0.659
514     59     0     0.3     0.9     1     0.659     0.753
515     60     0     0.3     0.9     1     0.753     0.861
516     61     0     0.3     0.9     1     0.861     0.984
517     62     0     0.3     0.9     1     0.984     1.285
518     63     0     0.3     0.9     1     1.285     2.506
519     64     0.3     0.45     -1     -0.5     0.106     0.226
520     65     0.3     0.45     -1     -0.5     0.226     0.296
521     66     0.3     0.45     -1     -0.5     0.296     2.506
522     67     0.3     0.45     -0.5     0     0.106     0.226
