Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
5 - 89 | 0.000257229679212
5 - 90 | 0.000133880645795
5 - 91 | 9.09902446366e-05
5 - 92 | 0.000194423582576
5 - 93 | 0.000253656072122
5 - 94 | 0.000259836281434
5 - 95 | 1.60833419184e-05
6 - 0 | -5.61197638164e-05
6 - 1 | 2.39035772153e-05
6 - 2 | 8.06402635155e-06
6 - 3 | 5.96100344844e-05
6 - 4 | 6.73646855421e-05
6 - 5 | 4.3151215665e-05
6 - 6 | 3.79184880439e-05
6 - 7 | 9.3438707238e-06
6 - 8 | 0.0
6 - 9 | 0.0
6 - 10 | 0.0
6 - 11 | 0.0
6 - 12 | -2.55794977571e-05
6 - 13 | -3.29665951459e-05
6 - 14 | 9.46609014262e-05
6 - 15 | 0.000152673476472
6 - 16 | 1.43722019347e-05
6 - 17 | 6.78762510082e-05
6 - 18 | 4.85619043674e-05
6 - 19 | 2.62904764127e-05
6 - 20 | 1.23353331468e-05
6 - 21 | 0.0
6 - 22 | 0.0
6 - 23 | 0.0
6 - 24 | -6.22582773382e-05
6 - 25 | -3.53861717235e-05
6 - 26 | 0.000102687052228
6 - 27 | 0.000168343840016
6 - 28 | 6.01472316231e-05
6 - 29 | 2.1109969309e-05
6 - 30 | 8.63346615764e-05
6 - 31 | 6.83658005248e-05
6 - 32 | 9.48107921386e-05
6 - 33 | 1.35166091493e-05
6 - 34 | 0.0
6 - 35 | 0.0
6 - 36 | -0.000140884840801
6 - 37 | -0.000133157292645
6 - 38 | 6.04375947908e-05
6 - 39 | -2.49774994853e-05
6 - 40 | 6.90839345334e-05
6 - 41 | 5.52116592621e-05
6 - 42 | 8.36419915312e-05
6 - 43 | 9.04395114222e-05
6 - 44 | 8.42088535844e-05
6 - 45 | 4.13197604423e-05
6 - 46 | 0.0
6 - 47 | 0.0
6 - 48 | -0.000168026965167
6 - 49 | 4.74579450367e-05
6 - 50 | 6.69002930528e-05
6 - 51 | 8.99280809456e-05
6 - 52 | 6.96032963994e-05
6 - 53 | -4.96572096858e-05
6 - 54 | 0.000122284618367
6 - 55 | -0.00115975427219
6 - 56 | 6.03488582007e-05
6 - 57 | 3.83435327592e-05
6 - 58 | 4.0870035457e-06
6 - 59 | 0.0
6 - 60 | -0.000113259837316
6 - 61 | 0.000151065724463
6 - 62 | 0.00040703243719
6 - 63 | 0.000466815651379
6 - 64 | 0.000361205727599
6 - 65 | 2.06965286956e-05
6 - 66 | -5.92069490779e-05
6 - 67 | 7.99040437523e-05
6 - 68 | 0.000116319765078
6 - 69 | 8.39825861541e-05
6 - 70 | 1.42877260508e-05
6 - 71 | 0.0
6 - 72 | -7.98452315403e-05
6 - 73 | -0.00023907852461
6 - 74 | -0.000412343847133
6 - 75 | -0.000497528867014
6 - 76 | -0.000450559410052
6 - 77 | 0.000128463521603
6 - 78 | 5.5585256659e-05
6 - 79 | 8.92787871023e-05
6 - 80 | 0.000137137446817
6 - 81 | 8.96498946338e-05
6 - 82 | 3.1628135217e-05
6 - 83 | 2.77319257244e-07
6 - 84 | 5.318355987e-05
6 - 85 | -5.26235267137e-05
6 - 86 | 8.56562044085e-06
6 - 87 | -6.59927900925e-05
6 - 88 | 1.20847867903e-05
6 - 89 | 0.000150554797854
6 - 90 | 4.87922470406e-05
6 - 91 | 1.83575947219e-05
6 - 92 | 0.000101225251295
6 - 93 | 0.000135693731911
6 - 94 | 0.000134885606349
6 - 95 | 8.06396721e-06
7 - 0 | -1.04371850562e-05
7 - 1 | 2.08810767598e-05
7 - 2 | 4.74473389075e-06
7 - 3 | 2.40094045965e-05
7 - 4 | 3.15472360545e-05
7 - 5 | 1.09619973348e-05
7 - 6 | 9.3438707238e-06
7 - 7 | 7.32676868519e-06
7 - 8 | 0.0
7 - 9 | 0.0
7 - 10 | 0.0
7 - 11 | 0.0
7 - 12 | -1.12744840893e-05
7 - 13 | -9.52629662504e-06
7 - 14 | 3.39147105503e-05
7 - 15 | 4.69591494583e-05
7 - 16 | 2.86991256371e-06
7 - 17 | 2.46179928104e-05
7 - 18 | 1.78954537394e-05
7 - 19 | 1.00470395344e-05
7 - 20 | 5.62175167229e-06
7 - 21 | 0.0
7 - 22 | 0.0
7 - 23 | 0.0
7 - 24 | -3.20123373222e-05
7 - 25 | -1.33590670109e-05
7 - 26 | 2.74128059635e-05
7 - 27 | 5.45821702377e-05
7 - 28 | 2.15887008284e-05
7 - 29 | 1.06714275681e-05
7 - 30 | 3.04477764098e-05
7 - 31 | 2.12055178535e-05
7 - 32 | 2.9923955519e-05
7 - 33 | 5.28732911025e-06
7 - 34 | 0.0
7 - 35 | 0.0
7 - 36 | -5.22782096483e-05
7 - 37 | -3.66841097292e-05
7 - 38 | 4.28463623168e-05
7 - 39 | -1.07572701676e-05
7 - 40 | 1.95205076565e-05
7 - 41 | 1.45427975584e-05
7 - 42 | 2.6243894944e-05
7 - 43 | 3.00568240889e-05
7 - 44 | 2.78872724315e-05
7 - 45 | 1.61796399291e-05
7 - 46 | 0.0
7 - 47 | 0.0
7 - 48 | -5.75558116344e-05
7 - 49 | 1.14183110248e-05
7 - 50 | 1.53458676961e-05
7 - 51 | 2.12696496771e-05
7 - 52 | 1.59656984486e-05
7 - 53 | -1.94680732731e-05
7 - 54 | 3.46321147719e-05
7 - 55 | -0.000240758628149
7 - 56 | 2.16508583258e-05
7 - 57 | 1.61931611827e-05
7 - 58 | 2.44744938937e-06
7 - 59 | 0.0
7 - 60 | -4.18760117072e-05
7 - 61 | 5.19360115654e-05
7 - 62 | 0.000127838845475
7 - 63 | 0.000146396246169
7 - 64 | 0.000114892405
7 - 65 | 9.66668904312e-07
7 - 66 | -1.10230634106e-05
7 - 67 | 4.58583651109e-05
7 - 68 | 3.29882402491e-05
7 - 69 | 2.87264297197e-05
7 - 70 | 5.50040780745e-06
7 - 71 | 0.0
7 - 72 | -2.67635989695e-05
7 - 73 | -8.01185969771e-05
7 - 74 | -0.000136149276658
7 - 75 | -0.000180496763689
7 - 76 | -0.000150684387764
7 - 77 | 4.05840905305e-05
7 - 78 | 1.3124126616e-05
7 - 79 | 3.05281452225e-05
7 - 80 | 5.00890612776e-05
7 - 81 | 3.36005224848e-05
7 - 82 | 1.11758289942e-05
7 - 83 | 1.18150047906e-07
7 - 84 | 1.98300169732e-05
7 - 85 | -1.5980348131e-05
7 - 86 | 1.91110975354e-06
7 - 87 | -2.86507010327e-05
7 - 88 | -1.97616394945e-05
7 - 89 | 4.04630644302e-05
7 - 90 | 1.23884958941e-05
7 - 91 | 7.85667780722e-06
7 - 92 | 3.60963477671e-05
7 - 93 | 4.9725636217e-05
7 - 94 | 4.53272707252e-05
7 - 95 | 3.24060679452e-06
8 - 0 | 0.0
8 - 1 | 0.0
8 - 2 | 0.0
8 - 3 | 0.0
8 - 4 | 0.0
8 - 5 | 0.0
8 - 6 | 0.0
8 - 7 | 0.0
8 - 8 | 0.0
8 - 9 | 0.0
8 - 10 | 0.0
8 - 11 | 0.0
8 - 12 | 0.0
8 - 13 | 0.0
8 - 14 | 0.0
8 - 15 | 0.0
8 - 16 | 0.0
8 - 17 | 0.0
8 - 18 | 0.0
8 - 19 | 0.0
8 - 20 | 0.0
8 - 21 | 0.0
8 - 22 | 0.0
8 - 23 | 0.0
8 - 24 | 0.0
8 - 25 | 0.0
8 - 26 | 0.0
8 - 27 | 0.0
8 - 28 | 0.0
8 - 29 | 0.0
8 - 30 | 0.0
8 - 31 | 0.0
8 - 32 | 0.0
8 - 33 | 0.0
8 - 34 | 0.0
8 - 35 | 0.0
8 - 36 | 0.0
8 - 37 | 0.0
8 - 38 | 0.0
8 - 39 | 0.0
8 - 40 | 0.0
8 - 41 | 0.0
8 - 42 | 0.0
8 - 43 | 0.0
8 - 44 | 0.0
8 - 45 | 0.0
8 - 46 | 0.0
8 - 47 | 0.0
8 - 48 | 0.0
