Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
6 - 33 | 0.000390469
6 - 34 | 0.000419242
6 - 35 | 0.000197554
6 - 36 | 0.000194417
6 - 37 | 0.000123429
6 - 38 | 3.17771e-07
6 - 39 | 1.38352e-05
6 - 40 | 1.23021e-06
6 - 41 | -0.000138083
6 - 42 | 0.000157331
6 - 43 | 0.000109158
6 - 44 | 0.000107151
6 - 45 | 4.97777e-05
6 - 46 | 8.42122e-07
6 - 47 | 7.73212e-05
6 - 48 | -3.15621e-05
6 - 49 | -3.57897e-05
6 - 50 | 0.00013253
6 - 51 | 9.12346e-05
6 - 52 | 0.000151323
6 - 53 | 5.54637e-05
6 - 54 | 9.96312e-05
6 - 55 | 5.43598e-05
6 - 56 | 3.63167e-05
6 - 57 | 2.67497e-06
6 - 58 | 9.64957e-05
6 - 59 | -1.80031e-05
6 - 60 | 4.4555e-05
6 - 61 | 7.37516e-05
6 - 62 | -5.01726e-06
6 - 63 | 2.01705e-05
6 - 64 | 6.58655e-05
6 - 65 | 2.94435e-05
6 - 66 | 3.46734e-06
7 - 0 | 9.94706e-07
7 - 1 | 1.6462e-06
7 - 2 | 2.66198e-09
7 - 3 | 8.93941e-07
7 - 4 | 1.03821e-06
7 - 5 | 2.04232e-06
7 - 6 | 9.15882e-07
7 - 7 | 1.78181e-09
7 - 8 | 9.67202e-07
7 - 9 | -4.60977e-07
7 - 10 | 8.12482e-07
7 - 11 | 1.20996e-06
7 - 12 | 1.19591e-06
7 - 13 | 1.80769e-07
7 - 14 | 1.43993e-09
7 - 15 | 4.66602e-07
7 - 16 | -2.54951e-07
7 - 17 | 2.37456e-07
7 - 18 | 4.96483e-07
7 - 19 | 9.13223e-07
7 - 20 | 3.03805e-07
7 - 21 | 4.59069e-09
7 - 22 | 4.93345e-07
7 - 23 | -1.83218e-07
7 - 24 | 1.48874e-07
7 - 25 | 2.87213e-07
7 - 26 | 3.04994e-07
7 - 27 | 4.92573e-07
