Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
6 - 61 | 0.000517876
6 - 62 | 0.000202281
6 - 63 | 0.000411279
6 - 64 | 0.000485658
6 - 65 | 0.000481999
6 - 66 | 2.19873e-05
7 - 0 | 6.89782e-07
7 - 1 | 5.61636e-07
7 - 2 | 7.34127e-10
7 - 3 | 5.63013e-07
7 - 4 | 1.95659e-06
7 - 5 | 1.49046e-06
7 - 6 | 6.32306e-07
7 - 7 | 9.95764e-10
7 - 8 | 4.82554e-07
7 - 9 | 1.72433e-06
7 - 10 | 1.93029e-06
7 - 11 | 2.52732e-06
7 - 12 | 1.74701e-06
7 - 13 | 1.93124e-07
7 - 14 | 1.28594e-09
7 - 15 | 2.81476e-07
7 - 16 | 1.32516e-06
7 - 17 | 2.22712e-06
7 - 18 | 2.47271e-06
7 - 19 | 2.09359e-06
7 - 20 | 6.90037e-07
7 - 21 | 5.92597e-09
7 - 22 | 3.53042e-07
7 - 23 | 1.3367e-06
7 - 24 | 2.05473e-06
7 - 25 | 2.50947e-06
7 - 26 | 1.63472e-06
7 - 27 | 1.29105e-06
7 - 28 | 8.92752e-07
7 - 29 | 4.60767e-09
7 - 30 | 1.40343e-07
7 - 31 | 1.03639e-06
7 - 32 | 2.00856e-06
7 - 33 | 2.33335e-06
7 - 34 | 2.77878e-06
7 - 35 | 1.25732e-06
7 - 36 | 7.80274e-07
7 - 37 | 4.72218e-07
7 - 38 | 1.36694e-09
7 - 39 | 3.2024e-07
7 - 40 | 1.7616e-06
7 - 41 | 2.21934e-06
7 - 42 | 1.28187e-06
7 - 43 | 1.57964e-06
7 - 44 | 9.50162e-07
7 - 45 | 3.06027e-07
7 - 46 | 4.11572e-09
7 - 47 | 2.62488e-07
7 - 48 | 9.77634e-07
7 - 49 | 1.66992e-06
7 - 50 | 2.20106e-06
7 - 51 | 1.40299e-06
7 - 52 | 1.49693e-06
7 - 53 | 1.05367e-06
7 - 54 | 6.9926e-07
7 - 55 | 8.39853e-07
7 - 56 | 3.12268e-07
7 - 57 | 1.06241e-08
7 - 58 | 3.52694e-07
7 - 59 | 6.09999e-07
7 - 60 | 9.15219e-07
7 - 61 | 8.15559e-07
7 - 62 | 3.18555e-07
7 - 63 | 6.47688e-07
7 - 64 | 7.64821e-07
7 - 65 | 7.5906e-07
7 - 66 | 3.4626e-08
8 - 0 | 0.000334273
8 - 1 | 0.000272173
8 - 2 | 3.55763e-07
8 - 3 | 0.00027284
8 - 4 | 0.000948177
8 - 5 | 0.000722288
8 - 6 | 0.000306419
8 - 7 | 4.82554e-07
8 - 8 | 0.000233849
8 - 9 | 0.000835624
8 - 10 | 0.000935432
8 - 11 | 0.00122475
8 - 12 | 0.000846611
8 - 13 | 9.35889e-05
8 - 14 | 6.23177e-07
8 - 15 | 0.000136405
8 - 16 | 0.000642179
8 - 17 | 0.00107927
8 - 18 | 0.00119829
8 - 19 | 0.00101457
8 - 20 | 0.000334396
8 - 21 | 2.87177e-06
8 - 22 | 0.000171086
8 - 23 | 0.000647773
8 - 24 | 0.000995735
8 - 25 | 0.00121611
8 - 26 | 0.000792194
8 - 27 | 0.000625649
8 - 28 | 0.000432633
8 - 29 | 2.23291e-06
8 - 30 | 6.8011e-05
8 - 31 | 0.000502243
8 - 32 | 0.000973363
8 - 33 | 0.00113076
8 - 34 | 0.00134661
8 - 35 | 0.000609305
8 - 36 | 0.000378126
8 - 37 | 0.00022884
8 - 38 | 6.6243e-07
8 - 39 | 0.00015519
8 - 40 | 0.000853684
8 - 41 | 0.00107551
8 - 42 | 0.000621204
8 - 43 | 0.000765505
8 - 44 | 0.000460455
8 - 45 | 0.000148303
8 - 46 | 1.9945e-06
8 - 47 | 0.000127203
8 - 48 | 0.000473768
8 - 49 | 0.000809254
8 - 50 | 0.00106665
8 - 51 | 0.000679896
8 - 52 | 0.000725421
8 - 53 | 0.000510613
8 - 54 | 0.000338866
8 - 55 | 0.000406998
8 - 56 | 0.000151327
8 - 57 | 5.14849e-06
8 - 58 | 0.000170918
8 - 59 | 0.000295609
8 - 60 | 0.000443521
8 - 61 | 0.000395225
8 - 62 | 0.000154374
8 - 63 | 0.000313874
8 - 64 | 0.000370637
8 - 65 | 0.000367845
8 - 66 | 1.678e-05
9 - 0 | 0.00119447
9 - 1 | 0.000972569
9 - 2 | 1.27127e-06
9 - 3 | 0.000974953
9 - 4 | 0.00338817
9 - 5 | 0.00258099
9 - 6 | 0.00109494
9 - 7 | 1.72433e-06
9 - 8 | 0.000835624
9 - 9 | 0.00298598
9 - 10 | 0.00334263
9 - 11 | 0.00437648
9 - 12 | 0.00302524
9 - 13 | 0.000334426
9 - 14 | 2.22683e-06
9 - 15 | 0.000487424
9 - 16 | 0.00229473
9 - 17 | 0.00385663
9 - 18 | 0.00428191
9 - 19 | 0.00362541
9 - 20 | 0.00119492
9 - 21 | 1.02618e-05
9 - 22 | 0.000611352
9 - 23 | 0.00231472
9 - 24 | 0.00355811
9 - 25 | 0.00434558
9 - 26 | 0.00283079
9 - 27 | 0.00223566
9 - 28 | 0.00154595
9 - 29 | 7.97897e-06
9 - 30 | 0.000243027
9 - 31 | 0.00179469
9 - 32 | 0.00347817
9 - 33 | 0.00404059
9 - 34 | 0.00481193
9 - 35 | 0.00217726
9 - 36 | 0.00135118
9 - 37 | 0.000817725
9 - 38 | 2.3671e-06
9 - 39 | 0.00055455
9 - 40 | 0.00305051
9 - 41 | 0.00384317
9 - 42 | 0.00221978
9 - 43 | 0.00273542
9 - 44 | 0.00164537
9 - 45 | 0.000529938
9 - 46 | 7.12706e-06
9 - 47 | 0.000454542
9 - 48 | 0.00169294
9 - 49 | 0.00289175
9 - 50 | 0.0038115
9 - 51 | 0.00242951
9 - 52 | 0.00259218
9 - 53 | 0.0018246
9 - 54 | 0.00121089
9 - 55 | 0.00145435
9 - 56 | 0.000540744
9 - 57 | 1.83974e-05
9 - 58 | 0.00061075
9 - 59 | 0.00105632
9 - 60 | 0.00158486
9 - 61 | 0.00141228
9 - 62 | 0.000551632
9 - 63 | 0.00112158
9 - 64 | 0.00132442
9 - 65 | 0.00131444
9 - 66 | 5.99608e-05
10 - 0 | 0.00133714
10 - 1 | 0.00108873
10 - 2 | 1.42311e-06
10 - 3 | 0.0010914
10 - 4 | 0.00379286
10 - 5 | 0.00288927
10 - 6 | 0.00122573
10 - 7 | 1.93029e-06
10 - 8 | 0.000935432
10 - 9 | 0.00334263
10 - 10 | 0.00374187
10 - 11 | 0.00489921
10 - 12 | 0.00338658
10 - 13 | 0.000374371
10 - 14 | 2.49281e-06
10 - 15 | 0.000545642
10 - 16 | 0.00256882
10 - 17 | 0.00431727
10 - 18 | 0.00479335
10 - 19 | 0.00405843
10 - 20 | 0.00133764
10 - 21 | 1.14875e-05
10 - 22 | 0.000684372
10 - 23 | 0.00259119
10 - 24 | 0.0039831
10 - 25 | 0.00486462
10 - 26 | 0.0031689
10 - 27 | 0.00250269
10 - 28 | 0.0017306
10 - 29 | 8.93198e-06
10 - 30 | 0.000272055
10 - 31 | 0.00200905
10 - 32 | 0.00389361
10 - 33 | 0.00452321
10 - 34 | 0.00538667
10 - 35 | 0.00243731
10 - 36 | 0.00151256
10 - 37 | 0.000915395
10 - 38 | 2.64982e-06
10 - 39 | 0.000620786
10 - 40 | 0.00341487
10 - 41 | 0.0043022
10 - 42 | 0.00248491
10 - 43 | 0.00306214
10 - 44 | 0.00184189
10 - 45 | 0.000593235
10 - 46 | 7.97833e-06
10 - 47 | 0.000508833
10 - 48 | 0.00189515
10 - 49 | 0.00323714
10 - 50 | 0.00426675
10 - 51 | 0.00271969
10 - 52 | 0.0029018
10 - 53 | 0.00204253
10 - 54 | 0.00135552
10 - 55 | 0.00162806
10 - 56 | 0.000605331
10 - 57 | 2.05948e-05
