Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
6 - 46 | 0.0
6 - 47 | 0.0
6 - 48 | -6.70323767831e-07
6 - 49 | -9.17982765972e-07
6 - 50 | 1.10143943488e-06
6 - 51 | -7.61695123818e-07
6 - 52 | -5.71947634638e-07
6 - 53 | -1.28960534104e-06
6 - 54 | -7.89292876638e-07
6 - 55 | 7.45268350669e-07
6 - 56 | 6.07712575675e-07
6 - 57 | 2.09172745551e-07
6 - 58 | 2.79556841925e-09
6 - 59 | 0.0
6 - 60 | 4.81876942779e-07
6 - 61 | 2.58825267993e-07
6 - 62 | -1.11336406823e-07
6 - 63 | -1.42402844534e-06
6 - 64 | -7.52605386669e-08
6 - 65 | 8.68707015646e-08
6 - 66 | -4.3378415653e-07
6 - 67 | -1.10455809426e-09
6 - 68 | 3.75018823415e-07
6 - 69 | 4.09056710949e-07
6 - 70 | 2.50218495409e-08
6 - 71 | 0.0
6 - 72 | 2.02289771491e-06
6 - 73 | 1.19946092929e-07
6 - 74 | -1.42806889994e-06
6 - 75 | -1.50592406801e-06
6 - 76 | 2.4339648815e-06
6 - 77 | 1.53684294131e-06
6 - 78 | 4.6708389539e-07
6 - 79 | 2.33699142771e-07
6 - 80 | -1.57049282142e-07
6 - 81 | 1.9398465853e-07
6 - 82 | 5.14646927535e-08
6 - 83 | -2.44685429362e-09
6 - 84 | -2.02058304554e-08
6 - 85 | -1.66171799081e-08
6 - 86 | -1.76040936748e-06
6 - 87 | -9.82703248639e-07
6 - 88 | 1.75503118539e-06
6 - 89 | 1.66568125096e-06
6 - 90 | 1.45598808606e-07
6 - 91 | -6.50736975349e-07
6 - 92 | -3.59918921741e-07
6 - 93 | 1.82488088405e-07
6 - 94 | 1.21587195246e-07
6 - 95 | 4.53694999708e-09
7 - 0 | 2.24586508887e-08
7 - 1 | -9.18545366269e-07
7 - 2 | 1.40234226562e-06
7 - 3 | 1.13835125588e-06
7 - 4 | 1.04242187077e-06
7 - 5 | 6.0392623889e-07
7 - 6 | 5.35754724997e-07
7 - 7 | 1.10064436189e-06
7 - 8 | 0.0
7 - 9 | 0.0
7 - 10 | 0.0
7 - 11 | 0.0
7 - 12 | 3.18568881637e-07
7 - 13 | -1.75444145728e-07
7 - 14 | -3.04706577874e-07
7 - 15 | 2.89857651354e-07
7 - 16 | -2.05561678467e-08
7 - 17 | 3.15538832437e-07
7 - 18 | 9.68376224769e-08
7 - 19 | 2.1486690521e-07
7 - 20 | 3.88394319394e-08
7 - 21 | 0.0
7 - 22 | 0.0
7 - 23 | 0.0
7 - 24 | 6.66470823407e-07
7 - 25 | -3.97689522875e-07
7 - 26 | 7.81470397833e-07
7 - 27 | -3.65018125407e-07
7 - 28 | -2.54304090028e-08
7 - 29 | 3.51216056473e-08
7 - 30 | 3.73779983922e-08
7 - 31 | 6.8078980306e-08
7 - 32 | -2.9173104708e-08
7 - 33 | -1.92605375831e-08
7 - 34 | 0.0
7 - 35 | 0.0
7 - 36 | -2.03672400826e-07
7 - 37 | 1.15173022445e-06
7 - 38 | 2.62136835344e-07
7 - 39 | -1.75548992059e-07
7 - 40 | 3.82320674445e-07
7 - 41 | 1.98523398754e-07
7 - 42 | 1.49177870334e-07
7 - 43 | 1.71190471749e-07
7 - 44 | 1.27178934598e-07
7 - 45 | -9.3948505906e-08
7 - 46 | 0.0
7 - 47 | 0.0
7 - 48 | -7.73841582332e-07
7 - 49 | 5.39642378836e-07
7 - 50 | 1.37230047969e-07
7 - 51 | -3.4355739383e-07
7 - 52 | 1.82406251229e-07
7 - 53 | 4.54979882835e-07
7 - 54 | -3.84284712178e-07
7 - 55 | -3.92276818312e-07
7 - 56 | -3.61953812952e-08
7 - 57 | 6.09276380415e-08
7 - 58 | -1.68419254693e-08
7 - 59 | 0.0
7 - 60 | -3.39387611277e-07
7 - 61 | 5.70261219771e-07
7 - 62 | -4.0873902893e-07
7 - 63 | -7.03713406257e-07
7 - 64 | 7.05517065608e-07
7 - 65 | 8.97866512122e-07
7 - 66 | -4.35172065283e-07
7 - 67 | -1.86613304725e-07
7 - 68 | 7.41033770836e-08
7 - 69 | 1.07007119892e-07
7 - 70 | -2.36683379847e-08
7 - 71 | 0.0
7 - 72 | -4.47621683671e-07
