Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
5 - 19 | 3.76298486033e-06
5 - 20 | 6.86876677397e-07
5 - 21 | 0.0
5 - 22 | 0.0
5 - 23 | 0.0
5 - 24 | 0.000103450983623
5 - 25 | 0.000273391213252
5 - 26 | 0.000316057573465
5 - 27 | 0.000185574488464
5 - 28 | 0.000100850554025
5 - 29 | 5.01290526225e-05
5 - 30 | 2.64376063877e-05
5 - 31 | 1.10110384608e-05
5 - 32 | -3.16697459882e-06
5 - 33 | -5.88522321157e-07
5 - 34 | 0.0
5 - 35 | 0.0
5 - 36 | 8.97025591174e-05
5 - 37 | 0.000249608486505
5 - 38 | 0.000309693305222
5 - 39 | 0.000231887279861
5 - 40 | 0.00011555662087
5 - 41 | 7.48820928922e-05
5 - 42 | 5.23031334432e-05
5 - 43 | 2.62230891362e-05
5 - 44 | 5.17462993325e-06
5 - 45 | -3.03697178976e-06
5 - 46 | 0.0
5 - 47 | 0.0
5 - 48 | 6.51084348137e-05
5 - 49 | 0.000199458940303
5 - 50 | 0.00027196774407
5 - 51 | 0.000223093876812
5 - 52 | 0.000138615840455
5 - 53 | 0.000137610723879
5 - 54 | 7.34517323763e-05
5 - 55 | 0.000154103551756
5 - 56 | 2.60590509241e-05
5 - 57 | 3.63815356892e-06
5 - 58 | 2.43088066356e-07
5 - 59 | 0.0
5 - 60 | 5.34553505249e-05
5 - 61 | 0.000136368139062
5 - 62 | 0.000210014068907
5 - 63 | 0.000182950727818
5 - 64 | 0.000126428990907
5 - 65 | 0.00012556179589
5 - 66 | 0.000114371274286
5 - 67 | 7.43786327135e-05
5 - 68 | 5.79299490061e-05
5 - 69 | 1.5508087171e-05
5 - 70 | 1.45865900383e-06
5 - 71 | 0.0
5 - 72 | 6.26594412212e-05
5 - 73 | 0.000149383275552
5 - 74 | 0.000262290142589
5 - 75 | 0.000260395406947
5 - 76 | 0.000212178970912
5 - 77 | 0.000123047587933
5 - 78 | 0.000107591872118
5 - 79 | 0.000105727088277
5 - 80 | 9.00326311282e-05
5 - 81 | 5.00041000669e-05
5 - 82 | 1.27800573897e-05
5 - 83 | 6.38322441506e-08
5 - 84 | 3.83291519945e-05
5 - 85 | 7.84949548619e-05
5 - 86 | 0.000136655664755
5 - 87 | 0.000138933667436
5 - 88 | 8.75961290305e-05
5 - 89 | 5.89018021235e-05
5 - 90 | 6.10024233789e-05
5 - 91 | 7.13113974746e-05
5 - 92 | 7.95503288779e-05
5 - 93 | 8.14975945713e-05
5 - 94 | 6.45124165764e-05
5 - 95 | 2.88213275005e-06
6 - 0 | 3.05472694564e-05
6 - 1 | 6.75224541798e-05
6 - 2 | 6.0971790361e-05
6 - 3 | 1.84118873686e-05
6 - 4 | 5.72566854891e-06
6 - 5 | 2.43718166082e-06
6 - 6 | 5.44825512575e-07
6 - 7 | 1.55562026952e-07
6 - 8 | 0.0
6 - 9 | 0.0
6 - 10 | 0.0
6 - 11 | 0.0
6 - 12 | 2.45838415685e-05
6 - 13 | 6.36675823807e-05
6 - 14 | 7.11597958892e-05
6 - 15 | 3.05823757461e-05
6 - 16 | 1.50593163591e-05
6 - 17 | 6.93049312857e-06
6 - 18 | 2.34597450105e-06
6 - 19 | 8.4120531034e-07
6 - 20 | 1.53549464061e-07
6 - 21 | 0.0
6 - 22 | 0.0
6 - 23 | 0.0
6 - 24 | 2.31261937035e-05
6 - 25 | 6.11158824508e-05
6 - 26 | 7.06538344e-05
6 - 27 | 4.14846859483e-05
6 - 28 | 2.25448745464e-05
6 - 29 | 1.12062170945e-05
6 - 30 | 5.9100569658e-06
6 - 31 | 2.46148851758e-06
6 - 32 | -7.07968793157e-07
6 - 33 | -1.31562607926e-07
6 - 34 | 0.0
6 - 35 | 0.0
6 - 36 | 2.00527697775e-05
6 - 37 | 5.57993168049e-05
6 - 38 | 6.92311190714e-05
6 - 39 | 5.18377879422e-05
6 - 40 | 2.58323768839e-05
6 - 41 | 1.67396937613e-05
6 - 42 | 1.16922271103e-05
6 - 43 | 5.86210220174e-06
6 - 44 | 1.1567748318e-06
6 - 45 | -6.78907009121e-07
6 - 46 | 0.0
6 - 47 | 0.0
6 - 48 | 1.45548183546e-05
6 - 49 | 4.45885184249e-05
6 - 50 | 6.07976696809e-05
6 - 51 | 4.98720459538e-05
6 - 52 | 3.09872044178e-05
6 - 53 | 3.07625132662e-05
6 - 54 | 1.6419940452e-05
6 - 55 | 3.44494413055e-05
6 - 56 | 5.8254318934e-06
6 - 57 | 8.13299605392e-07
6 - 58 | 5.43416941307e-08
