Units: cross-section (10^-38 cm2/(nucleon x GeV))

row (bin i) - column (bin j) | sigma_i x sigma_j x rho_ij 
7 - 17 | -2.16253e-06
7 - 18 | 8.13469e-07
7 - 19 | 1.85413e-06
7 - 20 | -1.82838e-06
7 - 21 | 3.34759e-09
7 - 22 | 1.07632e-06
7 - 23 | 5.65206e-07
7 - 24 | -8.63756e-07
7 - 25 | 6.89135e-07
7 - 26 | -2.37845e-07
7 - 27 | 9.46855e-07
7 - 28 | 2.69205e-07
7 - 29 | -3.63855e-09
7 - 30 | -4.53686e-08
7 - 31 | -7.81392e-07
7 - 32 | -2.60099e-06
7 - 33 | 8.2592e-07
7 - 34 | -8.22769e-07
7 - 35 | 1.27616e-06
7 - 36 | -1.06361e-07
7 - 37 | -2.43942e-08
7 - 38 | 1.06644e-10
7 - 39 | 1.40989e-07
7 - 40 | 5.78442e-07
7 - 41 | -5.96033e-08
7 - 42 | -1.1346e-07
7 - 43 | -9.21203e-07
7 - 44 | 8.95723e-09
7 - 45 | 4.46606e-07
7 - 46 | -9.03757e-09
7 - 47 | 8.90077e-08
7 - 48 | 3.50608e-08
7 - 49 | -2.46486e-07
7 - 50 | 4.4699e-07
7 - 51 | -1.11964e-06
7 - 52 | -3.04154e-07
7 - 53 | 3.6471e-07
7 - 54 | -7.72108e-07
7 - 55 | 1.45985e-07
7 - 56 | 1.73986e-07
7 - 57 | -7.37179e-09
7 - 58 | -1.77507e-07
7 - 59 | 1.06722e-06
7 - 60 | -1.33543e-06
7 - 61 | 1.11602e-06
7 - 62 | -2.40021e-07
7 - 63 | -2.00716e-08
7 - 64 | -2.87475e-07
7 - 65 | 1.52593e-07
7 - 66 | -1.82582e-08
8 - 0 | -0.000147564
8 - 1 | 0.000104153
8 - 2 | 3.97016e-07
8 - 3 | -0.000231828
8 - 4 | 1.85737e-05
8 - 5 | 0.0001244
8 - 6 | -0.000175164
8 - 7 | 4.72613e-07
8 - 8 | 0.00104965
8 - 9 | -0.00051848
8 - 10 | -0.000179975
8 - 11 | -0.000236599
8 - 12 | -0.000144474
8 - 13 | -0.000100937
8 - 14 | 1.18375e-06
8 - 15 | -0.000185844
8 - 16 | 0.000354347
8 - 17 | -0.000401006
8 - 18 | 1.17741e-05
8 - 19 | 0.000101515
